P9PL1;C02;p8_268;down;down;;P9PL1;G08;p9_53;down;neutral
P9PL1;C03;p8_269;neutral;neutral;;P9PL1;G09;p9_54;down;neutral
P9PL1;C04;p9_17;neutral;neutral;;P9PL1;G10;p9_55;neutral;down
P9PL1;C05;p9_18;neutral;up;;P9PL1;G11;p9_56;down;neutral
P9PL1;C06;p9_19;down;neutral;;P9PL1;H02;p8_278;neutral;neutral
P9PL1;C07;p9_20;down;neutral;;P9PL1;H03;p8_279;down;down
P9PL1;C08;p9_21;neutral;neutral;;P9PL1;H04;p9_57;neutral;neutral
P9PL1;C09;p9_22;down;neutral;;P9PL1;H05;p9_58;down;neutral
P9PL1;C10;p9_23;neutral;down;;P9PL1;H06;p9_59;neutral;down
P9PL1;C11;p9_24;down;down;;P9PL1;H07;p9_60;down;neutral
P9PL1;D02;p8_270;neutral;neutral;;P9PL1;H08;p9_61;down;neutral
P9PL1;D03;p8_271;down;down;;P9PL1;H09;p9_62;down;down
P9PL1;D04;p9_25;neutral;neutral;;P9PL1;H10;p9_63;down;neutral
P9PL1;D05;p9_26;neutral;neutral;;P9PL1;H11;p9_64;down;down
P9PL1;D06;p9_27;neutral;neutral;;;;;;
P9PL1;D07;p9_28;neutral;neutral;;;;;;
P9PL1;D08;p9_29;neutral;neutral;;P9PL1;;;;
P9PL1;D09;p9_30;neutral;neutral;;;;;;
P9PL1;D10;p9_31;up;up;;;;;;
P9PL1;D11;p9_32;down;neutral;;;;;;
P9PL1;E02;p8_272;neutral;down;;;;;;
P9PL1;E03;p8_273;neutral;down;;;;;;
P9PL1;E04;p9_33;neutral;neutral;;;;;;
P9PL1;E05;p9_34;neutral;down;;;;;;
P9PL1;E06;p9_35;down;neutral;;;;;;
P9PL1;E07;p9_36;down;neutral;;;;;;
plate;well;iso_id;mKate;eGFP;;plate;well;iso_id;mKate;eGFP
P9PL2;A02;p9_65;neutral;neutral;;P9PL2;E08;p9_111;neutral;neutral
P9PL2;A03;p9_66;down;neutral;;P9PL2;E09;p9_112;neutral;neutral
P9PL2;A04;p9_67;neutral;neutral;;P9PL2;E10;p9_113;neutral;neutral
P9PL2;A05;p9_68;neutral;down;;P9PL2;E11;p9_114;neutral;neutral
P9PL2;A06;p9_69;neutral;neutral;;P9PL2;F02;p9_115;neutral;neutral
